stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
282,,Rose @ Palouse,,46.069784,-118.33698,1,,,,,
283,,Rose @ Colville,,46.068445,-118.338777,1,,,,,
284,,5th  @ Poplar,,46.06325,-118.3417,1,,,,,
287,,Veteran's Hospital 77 Wainwright Drive (Avery St NW side hosp),,46.0523713831451,-118.360197544097,1,,,,,
288,,Plaza Shopping Center,,46.04896,-118.3476,1,,,,,
289,,Senior Center/Sprague @ Malcolm,,46.05619,-118.3433,1,,,,,
291,,Alder @ 1st,,46.06643,-118.33709,1,,,,,
293,,Bryant @ Fern,,46.05667,-118.31513,1,,,,,
294,,Bryant @ Sturm,,46.05667,-118.30739,1,,,,,
296,,School @ Pleasant,,46.061985,-118.299031,1,,,,,
297,,Pleasant @ Ankeny,,46.0621692107801,-118.301604688167,1,,,,,
298,,Pleasant @ Bridge,,46.0621822386487,-118.309353590011,1,,,,,
299,,Pleasant @ Home,,46.062218,-118.311804,1,,,,,
300,,Pleasant @ Statesman,,46.062212,-118.315638,1,,,,,
301,,Whitman @ Madison,,46.06403,-118.32149,1,,,,,
302,,Park @ Whitman,,46.06361,-118.32757,1,,,,,
303,,Park @ Washington,,46.06604,-118.329513,1,,,,,
304,,Alder @ Spokane,,46.067656,-118.334463,1,,,,,
306,,Alder @ 2nd,,46.065842,-118.339049,1,,,,,
307,,2nd  @ Cherry,,46.06909,-118.34124,1,,,,,
308,,2nd  @ Oak,,46.07021,-118.34219,1,,,,,
309,,State Penitentiary,,46.082548,-118.358588,1,,,,,
310,,Pine @ Irene,,46.06864,-118.36168,1,,,,,
311,,Pine @ 13th,,46.0687312,-118.356467,1,,,,,
312,,2nd  @ Oak,,46.069662,-118.342023,1,,,,,
313,,2nd  @ Sumach,,46.06854,-118.3411,1,,,,,
1133,,Chase @ Chestnut,,46.058648,-118.340811,1,,,,,
136,,Pine @ 9th,,46.069345,-118.351089,1,,,,,
138,,K-Mart,,46.07648,-118.300074,1,,,,,
139,,Southgate,,46.055834,-118.332624,1,,,,,
140,,Alder @ Wilbur,,46.067762,-118.304103,1,,,,,
1153,,College Ave. @ 12th,,46.038692,-118.388414,1,,,,,
1107,,Isaacs @ Blue Mt. Industries,,46.077853,-118.294061,1,,,,,
1108,,Isaacs @ Albertsons,,46.076118,-118.302841,1,,,,,
1109,,Whitman Dr. @ Davis,,46.0493352672875,-118.394240140914,1,,,,,
1110,,Whitman Dr. @ Ash,,46.049285,-118.387926,1,,,,,
1111,,2nd @ Parkwood Circle,,46.04701,-118.327775,1,,,,,
1112,,2nd @ General Hospital,,46.0543891630417,-118.331782221794,1,,,,,
1114,,2nd @ Whitman,,46.061023,-118.33447,1,,,,,
1115,,Wilbur @ Tacoma,,46.074637,-118.304161,1,,,,,
1116,,Wilbur @ Hobson,,46.068374,-118.304552,1,,,,,
1117,,Palouse @ Alder,,46.068076,-118.333692,1,,,,,
1118,,Chase @ Stahl,,46.061,-118.340907,1,,,,,
1119,,Chestnut @ Sprague,,46.058536,-118.343316,1,,,,,
1120,,Super 1 Foods,,46.055644,-118.346357,1,,,,,
1121,,9th @ Orchard,,46.054106,-118.346368,1,,,,,
1122,,Harrison @ Chase,,46.055472,-118.341014,1,,,,,
1123,,Chase @ Eagan,,46.0602447746988,-118.340166807174,1,,,,,
1124,,5th @ Birch,,46.0629136554874,-118.341304063797,1,,,,,
1125,,Tietan @ Stevens,,46.049225,-118.340022,1,,,,,
1126,,3rd @ Yakima,,46.051958,-118.33557,1,,,,,
1127,,Tietan @ Sunset,,46.049237,-118.337098,1,,,,,
1128,,4th @ Willard,,46.053712,-118.337989,1,,,,,
1130,,Bryant @ Howard,,46.05663,-118.324642,1,,,,,
1132,,Pleasant @ Division,,46.0621654885313,-118.319717645645,1,,,,,
1134,,Bryant @ School,,46.056656,-118.299419,1,,,,,
1135,,Academy @ 1st,,46.048269,-118.398993,1,,,,,
1136,,2nd @ Walnut,,46.059504,-118.334416,1,,,,,
1137,,2nd @ Maple,,46.05777678268,-118.333700001239,1,,,,,
1138,,2nd @ Sheridan,,46.0528702507177,-118.330776393413,1,,,,,
1139,,Rose @ Touchet,,46.0716973449552,-118.334987461566,1,,,,,
1140,,4th @ Malcolm,,46.056049,-118.337774,1,,,,,
