trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1e_T03,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T03,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T03,07:35:00,07:35:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T04,07:21:00,07:21:00,195,1,Shopko,,,0
R1e_T04,,,404,2,Shopko,,,1.639
R1e_T04,,,193,3,Shopko,,,2.276
R1e_T04,,,1153,4,Shopko,,,2.417
R1e_T04,,,1154,5,Shopko,,,2.617
R1e_T04,,,1155,6,Shopko,,,2.897
R1e_T04,07:27:00,07:27:00,202,7,Shopko,,,3.217
R1e_T04,,,258,8,Shopko,,,3.77
R1e_T04,,,259,9,Shopko,,,3.978
R1e_T04,,,260,10,Shopko,,,4.491
R1e_T04,,,261,11,Shopko,,,5.207
R1e_T04,07:32:00,07:32:00,262,12,Shopko,,,5.459
R1e_T04,,,263,13,Transfer Center,,,5.784
R1e_T04,,,264,14,Transfer Center,,,6.231
R1e_T04,,,1173,15,Transfer Center,,,6.47
R1e_T04,,,1174,16,Transfer Center,,,6.741
R1e_T04,,,1167,17,Transfer Center,,,7.273
R1e_T04,,,1156,18,Transfer Center,,,7.369
R1e_T04,,,351,19,Transfer Center,,,7.819
R1e_T04,07:40:00,07:45:00,148,20,Transfer Center,,,8.19
R1e_T04,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T04,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T04,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T04,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T04,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T04,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T04,07:51:00,07:51:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T04,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T04,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T04,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T04,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T04,,,236,32,WWCC (Walla Walla Community College),,,11.389
