trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Delaware AM,3,9jy0,09:20:00,09:25:00,,0,0,,,59871.137476398006,
Delaware AM,4,epeh,09:30:00,09:35:00,,0,0,,,64749.826999422774,
Delaware AM,5,qmin,09:50:00,09:55:00,,0,0,,,71400.42234346572,
Delaware AM,6,ovna,10:00:00,10:05:00,,0,0,,,76719.04846920722,
Delaware AM,7,v7zr,10:25:00,10:30:00,,0,0,,,102387.8420334487,
Delaware AM,8,4rny,10:35:00,10:40:00,,0,0,,,105785.61078248758,
Delaware AM,9,4h9d,10:45:00,10:45:00,,0,0,,,107169.701775481,
Delware PM,0,4h9d,12:30:00,12:30:00,,0,0,,,0,
Delware PM,1,4rny,12:35:00,12:40:00,,0,0,,,1037.986263218698,
Delware PM,2,v7zr,12:45:00,12:50:00,,0,0,,,4573.81936440581,
Delware PM,3,ovna,13:10:00,13:15:00,,0,0,,,30040.280684455727,
Delware PM,4,qmin,13:20:00,13:25:00,,0,0,,,35358.906810197266,
Delware PM,5,epeh,13:40:00,13:45:00,,0,0,,,42009.5021542402,
Delware PM,6,9jy0,13:50:00,13:55:00,,0,0,,,46888.19167726497,
Delware PM,7,kkcb,14:05:00,14:10:00,,0,0,,,53178.84369994942,
Delware PM,8,2oy4,14:25:00,14:30:00,,0,0,,,69253.41850396297,
Delware PM,9,6qcx,15:10:00,15:10:00,,0,0,,,106760.54410578703,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,0,fwsa,06:00:00,06:00:00,,0,0,1,1,0,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,1,rlp4,06:10:00,06:10:00,,0,0,1,1,7423.881086912782,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,2,qk1j,06:25:00,06:25:00,,0,0,1,1,25976.075285671028,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,3,8g7r,06:32:00,06:32:00,,0,0,1,1,31332.631485811537,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,4,f5x2,06:40:00,06:40:00,,0,0,1,1,35301.35757053946,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,5,a8y1,06:42:00,06:42:00,,3,3,1,1,36036.17499673298,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,6,houl,06:45:00,06:45:00,,0,0,1,1,38415.87852761173,
