stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1074,1074,"Bangs Ave & McHenry Ave",,37.703664,-120.995813,,,0,,0
1075,1075,"E F St & 8th Ave",,37.768798,-120.841559,,,0,,0
1076,1076,"Oakdale Rd & Morril Ln",,37.726017,-120.958422,,,0,,0
1077,1077,"Oakdale Rd & Morril Ln",,37.725984,-120.958722,,,0,,0
1078,1078,"McHenry Ave & 1st St",,37.792794,-120.996646,,,0,,0
108,108,"Scenic Dr & Melrose Ave",,37.646199,-120.9868,,,0,,0
11,11,"Sutter Ave & Robertson Rd",,37.61458,-121.011799,,,0,,0
115,115,"McHenry Village - McHenry & Granger",,37.668396,-120.993884,,,0,,0
119,119,"Coffee Rd & Celeste Dr",,37.67212,-120.9756,,,0,,0
12,12,"Robertson Rd & Marseille Ln",,37.613389,-121.015899,,,0,,0
120,120,"Coffee Rd & Athens Ave",,37.67427,-120.975699,,,0,,0
121,121,"Coffee Rd & Floyd Ave",,37.67772,-120.9757,,,0,,0
122,122,"Coffee Rd between Floyd & Rumble",,37.679689,-120.9758,,,0,,0
123,123,"Coffee Rd & Thorsen Ave",,37.685179,-120.975999,,,0,,0
124,124,"Sylvan Ave & Coffee Rd",,37.688785,-120.975291,,,0,,0
125,125,"Beyer HS - Sylvan Ave & Boyce Ln",,37.688889,-120.9661,,,0,,0
126,126,"Sylvan Ave & Hasham Dr",,37.68887,-120.9598,,,0,,0
13,13,"Robertson Rd  & Hancock across",,37.61332,-121.021799,,,0,,0
14,14,"Robertson Rd  & Marlow St",,37.613317,-121.025486,,,0,,0
141,141,"Oakdale Rd & Floyd Ave",,37.67724,-120.9579,,,0,,0
142,142,"Oakdale Rd & Manor Oak Dr",,37.67461,-120.9578,,,0,,0
146,146,"Roselle Ave & Merle Ave",,37.670329,-120.939699,,,0,,0
147,147,"Lakewood Ave & Briggsmore Ave",,37.66647,-120.9395,,,0,,0
148,148,"Lakewood Ave & Orangeburg Ave",,37.66246,-120.9395,,,0,,0
149,149,"Middleboro Pl & Lakewood Ave",,37.658339,-120.9397,,,0,,0
15,15,"Robertson Rd & Vernon Ave",,37.61331,-121.0279,,,0,,0
150,150,"Middleboro Pl & Eastridge Dr",,37.65834,-120.943999,,,0,,0
151,151,"Surrey Ave & Sonoma Ave",,37.65629,-120.948195,,,0,,0
152,152,"Surrey Ave & McGuire Dr",,37.65632,-120.951591,,,0,,0
153,153,"Surrey Ave & Oakdale Rd",,37.6565,-120.957,,,0,,0
154,154,"Wylie Dr & Oakdale Rd",,37.6581,-120.958299,,,0,,0
155,155,"Wylie Dr & Muirswood Way",,37.658109,-120.962299,,,0,,0
156,156,"Rose Ave & Wylie Dr",,37.65789,-120.966599,,,0,,0
157,157,"Rose Ave & Irene Ave",,37.65455,-120.966553,,,0,,0
158,158,"Scenic Dr & Rose Ave",,37.651039,-120.9684,,,0,,0
159,159,"Scenic Dr & Sunnyside Ave",,37.649569,-120.973899,,,0,,0
16,16,"Carpenter Rd & Robertson Rd",,37.613499,-121.030199,,,0,,0
160,160,"Scenic Dr & Bodem St",,37.646659,-120.98591,,,0,,0
161,161,"I St & 17th St",,37.644659,-120.992399,,,0,,0
162,162,"I St & 16th St",,37.643639,-120.9938,,,0,,0
163,163,"I St & 14th St",,37.64233,-120.995599,,,0,,0
164,164,"I St & 11th St",,37.64014,-120.998499,,,0,,0
167,167,"Coffee Rd & Rumble Rd",,37.68207,-120.975899,,,0,,0
169,169,"9th St & G St",,37.63649,-120.9975,,,0,,0
17,17,"Paradise Rd & Carpenter Rd",,37.61654,-121.0299,,,0,,0
170,170,"9th St & D St",,37.63413,-120.994629,,,0,,0
171,171,"9th St & River Rd",,37.62575,-120.986999,,,0,,0
172,172,"9th St & Hosemer Ave",,37.62291,-120.986299,,,0,,0
173,173,"9th St & Sonora Ave",,37.62067,-120.9857,,,0,,0
174,174,"Latimer Ave & Bystrum Rd",,37.618449,-120.984099,,,0,,0
175,175,"Latimer Ave & Fallen Leaf Ln",,37.618439,-120.9821,,,0,,0
176,176,"Latimer Ave & Avon St",,37.61841,-120.9796,,,0,,0
177,177,"Sonora Ave & Avon St",,37.6202,-120.979,,,0,,0
178,178,"Sonora Ave & Herndon Rd",,37.62019,-120.975599,,,0,,0
179,179,"Herndon Rd & Pecos Ave",,37.61685,-120.9754,,,0,,0
18,18,"Paradise Rd & Vernon Ave",,37.617509,-121.027099,,,0,,0
180,180,"Nadine Ave & Herndon Rd",,37.612989,-120.974999,,,0,,0
181,181,"Nadine Ave & Musick Ave",,37.612969,-120.970499,,,0,,0
182,182,"Richland Ave & Nadine Ave",,37.612717,-120.966294,,,0,,0
183,183,"Richland Ave & Hatch Rd",,37.610511,-120.966482,,,0,,0
184,184,"JFK Howard Center - Stonum & Hatch",,37.610269,-120.961599,,,0,,0
185,185,"Hatch Rd & Herndon Rd",,37.60941,-120.9717,,,0,,0
186,186,"Rio Grande Ave & Boulder Ave",,37.609739,-120.9865,,,0,,0
187,187,"Santa Fe Ave & Rio Grande Ave",,37.60987,-120.989015,,,0,,0
188,188,"School Ave & Santa Fe Ave",,37.612214,-120.9893,,,0,,0
189,189,"Crows Landing Rd & School Ave",,37.612169,-120.9935,,,0,,0
19,19,"Paradise Rd & Pine Tree Ln",,37.620029,-121.023199,,,0,,0
190,190,"Crows Landing Rd & Blankenburg Ave",,37.62146,-120.9935,,,0,,0
191,191,"7th St & Crows Landing Rd",,37.623888,-120.992662,,,0,,0
193,193,"7th St at BJ Mini Mart",,37.619682,-120.989947,,,0,,0
194,194,"7th St & Pecos Ave",,37.616049,-120.9859,,,0,,0
195,195,"7th St between Pecos & Hyw 99",,37.612769,-120.982199,,,0,,0
196,196,"Herndon Rd & Hatch Rd",,37.609603,-120.97419,,,0,,0
197,197,"Herndon Rd & Eugene Ave",,37.61213,-120.975299,,,0,,0
198,198,"Herndon Rd & Holm Ave",,37.61413,-120.975299,,,0,,0
199,199,"Herndon Rd & Pecos Ave",,37.61637,-120.975299,,,0,,0
2,2,"I St & 7th St",,37.63726,-121.0023,,,0,,0
20,20,"Paradise Rd & Wade Ave",,37.621679,-121.0208,,,0,,0
200,200,"Herndon Rd & Latimer Ave",,37.618389,-120.975299,,,0,,0
201,201,"Sonora Ave & Herndon Rd",,37.6202,-120.975299,,,0,,0
202,202,"Sonora Ave & Avon St",,37.62027,-120.978999,,,0,,0
203,203,"Latimer Ave & Avon St",,37.618469,-120.979599,,,0,,0
204,204,"Latimer Ave & Fallen Leaf Ln",,37.61851,-120.982299,,,0,,0
205,205,"Latimer Ave & Bystrum Rd",,37.61853,-120.984,,,0,,0
206,206,"9th St & Lombardo Ave",,37.620239,-120.9853,,,0,,0
207,207,"9th St & Hosmer Ave",,37.622795,-120.986088,,,0,,0
208,208,"9th St & River Rd",,37.625479,-120.986699,,,0,,0
209,209,"9th St & D St",,37.634369,-120.99468,,,0,,0
21,21,"Paradise Rd & Mayette Ave",,37.623149,-121.0186,,,0,,0
212,212,"G St & 12th St",,37.638949,-120.994999,,,0,,0
213,213,"G St & 14th St",,37.640629,-120.992799,,,0,,0
214,214,"G St & 16th St",,37.641825,-120.991131,,,0,,0
215,215,"Scenic Dr & Bodem St",,37.6467,-120.985399,,,0,,0
216,216,"Scenic Dr  & County HSA",,37.647131,-120.9821,,,0,,0
217,217,"Scenic Dr & Coffee Rd",,37.649056,-120.974801,,,0,,0
218,218,"Scenic Dr & Rose Ave",,37.65088,-120.968399,,,0,,0
219,219,"Rose Ave & Scenic Dr",,37.651835,-120.966435,,,0,,0
22,22,"Paradise Rd & Chicago Ave",,37.62588,-121.014599,,,0,,0
220,220,"Rose Ave & Wylie Dr",,37.65743,-120.9665,,,0,,0
221,221,"Wylie Dr & Strathmore Dr",,37.658079,-120.963499,,,0,,0
222,222,"Wylie Dr & Oakdale Rd",,37.658,-120.9586,,,0,,0
223,223,"Surrey Ave & Oakdale Rd",,37.65643,-120.956999,,,0,,0
224,224,"Surrey Ave & McGuire Dr",,37.656239,-120.9516,,,0,,0
225,225,"Surrey Ave & Sonoma Ave",,37.656239,-120.948499,,,0,,0
226,226,"Middleboro Pl & Eastridge Dr",,37.6583,-120.9439,,,0,,0
227,227,"Middleboro Pl & Lakewood Ave",,37.65825,-120.9397,,,0,,0
228,228,"Lakewood Ave & Orangeburg Ave",,37.66385,-120.939211,,,0,,0
229,229,"Roselle Ave & Briggsmore Ave",,37.66767,-120.9393,,,0,,0
23,23,"Paradise Rd & Sutter Ave",,37.627299,-121.0124,,,0,,0
233,233,"Oakdale Rd & Manor Oak Dr",,37.67467,-120.9576,,,0,,0
24,24,"Paradise Rd & Leon Ave",,37.629432,-121.009732,,,0,,0
246,246,"Sylvan Ave & Oakdale Rd",,37.689045,-120.958638,,,0,,0
247,247,"Beyer HS - Sylvan Ave & Boyce Ln",,37.689109,-120.967099,,,0,,0
248,248,"Sylvan Ave & Forest Glenn Dr",,37.689,-120.972,,,0,,0
25,25,"Modesto HS - 1st St & Sierra Dr",,37.631439,-121.005799,,,0,,0
256,256,"McHenry Village - McHenry & Granger",,37.66748,-120.994099,,,0,,0
257,257,"McHenry Ave & Coolidge Ave",,37.666083,-120.994069,,,0,,0
