trip_id,start_time,end_time,headway_secs,exact_times
12,06:30:00,15:30:00,5400,1
16,09:30:00,17:00:00,5400,1
25,06:30:00,15:30:00,5400,1
29,09:30:00,17:00:00,5400,1
5,07:55:00,15:25:00,5400,1
9,09:25:00,15:25:00,5400,1
1,08:05:00,18:35:00,5400,1
3,09:35:00,17:05:00,5400,1
18,06:30:00,15:30:00,5400,1
22,09:30:00,17:00:00,5400,1
