route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
38,UM2223-UMTS-Weekday-63-1110000,3864859-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864860-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864861-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864862-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864863-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864864-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864865-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864866-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864867-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409732,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864868-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864869-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864870-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864871-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864872-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864873-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864874-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864875-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409732,380350,1,1
35,UM2223-UMTS-Weekday-63-0001100,3864876-UM2223-UMTS-Weekday-63-0001100,"Orchard Hill via Butterfield",1,409745,351096,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864929-UM2223-UMTS-Weekday-63-1110000,"Lot 12/25 via Mullins Center",1,409747,351095,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864930-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864931-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864932-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864933-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864934-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864935-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864936-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864937-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864938-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864939-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864940-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864941-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864942-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864943-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864944-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864945-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864946-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864947-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864948-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864949-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864950-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864951-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
