fare_id,route_id,origin_id,destination_id,contains_id
3648,3478,,,
3648,3480,,,
3648,3481,,,
3648,3482,,,
3648,3483,,,
3648,3484,,,
3648,3485,,,
3648,3486,,,
3648,3487,,,
3648,3488,,,
3648,3489,,,
3648,3490,,,
3648,3491,,,
3648,3493,,,
3648,3495,,,
3648,3496,,,
3648,3509,,,
3651,11709,1843,1843,
3651,11709,1843,1844,
3651,11709,1844,1843,
3651,11709,1844,1844,
3651,11709,1844,1845,
3651,11709,1845,1844,
3651,11709,1845,1845,
3652,11709,1843,1845,
3652,11709,1845,1843,
3654,3504,,,
3655,3505,,,
3656,3501,,,
3657,3507,1090,2374,
3657,3507,2373,2374,
3657,3507,2374,1090,
3657,3507,2374,2373,
3658,3507,1090,2373,
3658,3507,2373,1090,
3662,3497,,,
3662,3498,,,
3662,3500,,,
3664,4707,,,
