stop_id,stop_city
2578214,Nantucket
2538019,Nantucket
811261,Nantucket
798538,Springfield
811378,Nantucket
811381,Nantucket
811232,Nantucket
811314,Nantucket
811328,Nantucket
811341,Nantucket
811269,Nantucket
2581449,Nantucket
811383,Nantucket
798641,Springfield
811312,Nantucket
811275,Nantucket
811346,Nantucket
811293,Springfield
811239,Nantucket
811400,Nantucket
811260,Nantucket
811263,Nantucket
811370,Springfield
811254,Nantucket
811294,Nantucket
811371,Springfield
798636,Springfield
811336,Nantucket
811403,Nantucket
798639,Springfield
798607,Springfield
811344,Nantucket
811316,Nantucket
811233,Nantucket
798615,Springfield
811290,Springfield
811272,Nantucket
811340,Nantucket
811386,Springfield
811259,Nantucket
811347,Nantucket
811335,Nantucket
811342,Nantucket
811242,Nantucket
811379,Nantucket
811351,Nantucket
811358,Springfield
811225,Nantucket
798631,Springfield
798596,Nantucket
811295,Nantucket
811285,Springfield
811333,Nantucket
811343,Nantucket
831947,Springfield
811396,Nantucket
811345,Nantucket
811305,Nantucket
811257,Springfield
798575,Springfield
811313,Nantucket
811367,Springfield
798599,Springfield
811291,Springfield
811372,Springfield
798628,Springfield
811382,Nantucket
811389,Nantucket
811289,Springfield
811277,Nantucket
811267,Nantucket
811256,Springfield
811297,Nantucket
811274,Springfield
811397,Nantucket
811264,Nantucket
811234,Nantucket
811301,Nantucket
811394,Nantucket
811352,Nantucket
811237,Nantucket
811249,Nantucket
811283,Springfield
811353,Nantucket
811398,Nantucket
798627,Springfield
811374,Springfield
811323,Nantucket
811401,Nantucket
811318,Nantucket
811299,Nantucket
811296,Nantucket
2440675,Nantucket
811326,Nantucket
811224,Nantucket
811250,Nantucket
811221,Nantucket
811279,Nantucket
811404,Nantucket
811395,Nantucket
811348,Nantucket
811220,Nantucket
811330,Springfield
811321,Nantucket
811265,Nantucket
811319,Nantucket
811303,Nantucket
811252,Nantucket
811327,Nantucket
811243,Springfield
811322,Nantucket
811271,Nantucket
798634,Springfield
811248,Nantucket
798618,Springfield
811302,Nantucket
811222,Nantucket
811840,Springfield
811334,Nantucket
811236,Nantucket
811258,Springfield
811217,Nantucket
811268,Nantucket
811324,Nantucket
811219,Nantucket
798650,Nantucket
811375,Nantucket
798590,Springfield
811241,Springfield
2538015,Nantucket
811247,Nantucket
798543,Springfield
811388,Nantucket
811228,Nantucket
811307,Springfield
811270,Nantucket
811238,Nantucket
811216,Nantucket
798552,Springfield
811240,Nantucket
811298,Nantucket
811369,Springfield
811360,Nantucket
811311,Nantucket
811325,Nantucket
811339,Nantucket
798629,Springfield
811329,Nantucket
811300,Nantucket
798546,Springfield
798625,Springfield
811253,Nantucket
811282,Springfield
798584,Springfield
811286,Springfield
811320,Nantucket
811306,Nantucket
811308,Springfield
811278,Nantucket
811245,Nantucket
811273,Nantucket
811229,Nantucket
811350,Nantucket
811332,Nantucket
811392,Nantucket
811357,Nantucket
811317,Nantucket
811262,Nantucket
811266,Nantucket
2538018,Nantucket
811380,Nantucket
811373,Springfield
811359,Nantucket
811355,Nantucket
811365,Nantucket
811331,Springfield
811354,Nantucket
798655,Springfield
811391,Nantucket
811315,Nantucket
811399,Nantucket
811407,Springfield
811227,Nantucket
2578215,Nantucket
811231,Nantucket
811310,Nantucket
811288,Springfield
811276,Nantucket
811393,Nantucket
798659,Springfield
811366,Springfield
811235,Nantucket
811368,Springfield
811244,Springfield
811337,Nantucket
811251,Nantucket
811304,Nantucket
811226,Nantucket
811390,Nantucket
811376,Nantucket
811287,Springfield
811292,Springfield
811405,Nantucket
811377,Nantucket
798539,Nantucket
811402,Nantucket
811246,Nantucket
811230,Nantucket
811356,Nantucket
811338,Nantucket
811385,Springfield
811218,Nantucket
798551,Springfield
798602,Nantucket
811255,Nantucket
811384,Springfield
811387,Nantucket
811309,Springfield
798540,Springfield
811223,Nantucket
811349,Nantucket
2538016,Nantucket
798665,Springfield
