fare_id,route_id,origin_id,destination_id,contains_id
3602,,818,818,
3602,,819,819,
3602,,820,820,
3602,,821,821,
3602,,822,822,
3602,,823,823,
3603,,818,819,
3603,,818,821,
3603,,819,818,
3603,,819,820,
3603,,820,819,
3603,,820,821,
3603,,821,818,
3603,,821,820,
3603,,821,822,
3603,,822,821,
3603,,822,823,
3603,,823,822,
3604,,818,822,
3604,,819,821,
3604,,820,822,
3604,,821,819,
3604,,821,823,
3604,,822,818,
3604,,822,820,
3604,,823,821,
3605,,818,823,
3605,,819,822,
3605,,820,823,
3605,,822,819,
3605,,823,818,
3605,,823,820,
3606,,819,823,
3606,,823,819,
