stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
4150156,1178,,MILLBURY ST + WARD ST,,42.247182,-71.800608,,,0,,America/New_York,,,0,
4150157,1176,,MILLBURY ST + WARD ST,,42.247237,-71.800568,,,0,,America/New_York,,,0,
4150158,743,,MILLBURY ST + HARLEM ST,,42.246505,-71.801005,,,0,,America/New_York,,,0,
4150159,748,,MILLBURY ST + DIAMOND ST,,42.244742,-71.802118,,,0,,America/New_York,,,0,
4150160,742,,MILLBURY ST + PERRY AVE,,42.243033,-71.802357,,,0,,America/New_York,,,0,
4150161,741,,MILLBURY ST + FIFTH AVE,,42.240808,-71.801427,,,0,,America/New_York,,,0,
4150162,740,,MILLBURY ST + ESTHER ST,,42.239813,-71.800298,,,0,,America/New_York,,,0,
4150163,739,,MILLBURY ST + BURTON ST,,42.238392,-71.798312,,,0,,America/New_York,,,0,
4150164,738,,MILLBURY ST + FOOTBRIDGE OVER 146,,42.237812,-71.796595,,,0,,America/New_York,,,0,
4150165,1175,,MILLBURY ST + GRAMMONT RD,,42.237335,-71.794893,,,0,,America/New_York,,,0,
4150166,1146,,SHOPPES + BLACKSTONE VALLEY,,42.195827,-71.776997,,,0,,America/New_York,,,0,
4150167,1235,,LINCOLN PARK TOWERS,,42.272938,-71.758242,,,0,,America/New_York,,,0,
4150168,8715,,MAIN ST + ROUTE 67,,42.224992,-72.05759,,,0,,America/New_York,,,0,
4150169,8710,,MAIN ST + EAST BROOKFIELD CENTER,,42.226257,-72.05024,,,0,,America/New_York,,,0,
4150170,8705,,MAIN ST + COURT HOUSE,,42.231445,-72.030467,,,0,,America/New_York,,,0,
4150171,8065,,MAIN ST + SPENCER FAIR,,42.232963,-72.013618,,,0,,America/New_York,,,0,
4150172,8060,,MAIN ST + SPENCER FAIR,,42.232837,-72.013777,,,0,,America/New_York,,,0,
4150173,8735,,MAIN ST + COURT HOUSE,,42.23139,-72.030093,,,0,,America/New_York,,,0,
4150174,8730,,MAIN ST + EAST BROOKFIELD CENTER,,42.2262,-72.05016,,,0,,America/New_York,,,0,
4150175,8725,,MAIN ST + ROUTE 67,,42.225048,-72.057297,,,0,,America/New_York,,,0,
4150176,8520,,CENTRAL ST + SOUTH MAPLE,,42.214717,-72.096938,,,0,,America/New_York,,,0,
4150177,8510,,COMMON ST + BROOKFIELD COMMON,,42.215202,-72.102675,,,0,,America/New_York,,,0,
4150178,1227,,MOUNTAIN ST. EAST + BRIAR LN,,42.317777,-71.775742,,,0,,America/New_York,,,0,
4150179,1226,,MOUNTAIN ST. EAST + QUINAPOXET LN,,42.32028,-71.784865,,,0,,America/New_York,,,0,
4150180,1194,,MOUNTAIN ST. EAST + BURNCOAT ST,,42.323452,-71.79204,,,0,,America/New_York,,,0,
4150181,752,,MOUNTAIN ST EAST + QUINAPOXET LN,,42.320265,-71.784562,,,0,,America/New_York,,,0,
4150182,5010,,WEST BOYLSTON ST + 249 WEST BOYLSTON ST,,42.345077,-71.78693,,,0,,America/New_York,,,0,
4150183,5005,,WEST BOYLSTON ST + CHAPMAN AVE,,42.341753,-71.787963,,,0,,America/New_York,,,0,
4150184,1104,,WEST BOYLSTON ST + TYSON RD,,42.335118,-71.789005,,,0,,America/New_York,,,0,
4150185,1103,,WEST BOYLSTON ST + WILBUR ST,,42.334292,-71.789347,,,0,,America/New_York,,,0,
4150186,1102,,WEST BOYLSTON ST + KENNEBEC ST,,42.333235,-71.7898,,,0,,America/New_York,,,0,
4150187,1101,,WEST BOYLSTON ST + APTHROP ST,,42.33143,-71.790555,,,0,,America/New_York,,,0,
4150188,1100,,WEST BOYLSTON ST + COTUIT ST,,42.329793,-71.791207,,,0,,America/New_York,,,0,
4150189,1099,,WEST BOYLSTON ST + DIXFIELD RD,,42.328252,-71.791485,,,0,,America/New_York,,,0,
4150190,1098,,WEST BOYLSTON ST + STOP & SHOP,,42.327138,-71.791842,,,0,,America/New_York,,,0,
4150191,1097,,WEST BOYLSTON ST + REYNOLDS ST,,42.325343,-71.792788,,,0,,America/New_York,,,0,
4150192,1096,,WEST BOYLSTON ST + MALDEN ST,,42.324588,-71.793145,,,0,,America/New_York,,,0,
4150193,1095,,WEST BOYLSTON ST + VENDORA RD,,42.32326,-71.793828,,,0,,America/New_York,,,0,
4150194,1094,,WEST BOYLSTON ST + HASTINGS RD,,42.322227,-71.794298,,,0,,America/New_York,,,0,
4150195,1093,,WEST BOYLSTON ST + VOLKMAR RD,,42.320543,-71.794973,,,0,,America/New_York,,,0,
