shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2900_shp,41.030389999999997,-73.624780000000001,1,0.0
2900_shp,41.029719999999998,-73.624480000000005,2,257.76703600000002
2900_shp,41.029029999999999,-73.624219999999994,3,519.20457699999997
2900_shp,41.027119999999996,-73.623829999999998,4,1223.3870910000001
2900_shp,41.024859999999997,-73.624269999999996,5,2055.7240510000001
2900_shp,41.023400000000002,-73.623959999999997,6,2594.5109900000002
2900_shp,41.021900000000002,-73.623649999999998,7,3147.6921440000001
2900_shp,41.021790000000003,-73.624430000000004,8,3366.6273139999998
2900_shp,41.021680000000003,-73.625789999999995,9,3744.0443540000001
3160_shp,41.021680000000003,-73.625770000000003,1,0.0
3160_shp,41.021569999999997,-73.627250000000004,2,410.35875299999998
3160_shp,41.021769999999997,-73.627279999999999,3,483.69776100000001
3160_shp,41.021850000000001,-73.627290000000002,4,512.97620400000005
3160_shp,41.021949999999997,-73.627300000000005,5,549.51569600000005
3160_shp,41.022039999999997,-73.627309999999994,6,582.42322799999999
3160_shp,41.022100000000002,-73.627459999999999,7,629.23291300000005
3160_shp,41.023150000000001,-73.629239999999996,8,1251.8159499999999
3160_shp,41.023629999999997,-73.630859999999998,9,1731.8267249999999
3160_shp,41.023629999999997,-73.630859999999998,10,1731.8267249999999
3160_shp,41.025080000000003,-73.629750000000001,11,2342.4999830000002
3160_shp,41.025080000000003,-73.629750000000001,12,2342.4999830000002
3160_shp,41.025939999999999,-73.629130000000004,13,2699.5016660000001
3160_shp,41.026490000000003,-73.62867,14,2936.7095610000001
3160_shp,41.026649999999997,-73.62867,15,2995.0058450000001
3160_shp,41.027940000000001,-73.62912,16,3481.1434170000002
3160_shp,41.027940000000001,-73.62912,17,3481.1434170000002
3160_shp,41.028390000000002,-73.629180000000005,18,3645.9354269999999
3160_shp,41.02966,-73.628270000000001,19,4172.3932059999997
3160_shp,41.030790000000003,-73.627459999999999,20,4640.855861
3160_shp,41.031309999999998,-73.626900000000006,21,4885.33187
3160_shp,41.031309999999998,-73.626900000000006,22,4885.33187
3160_shp,41.033439999999999,-73.628839999999997,23,5828.0783240000001
3160_shp,41.033499999999997,-73.628860000000003,24,5850.6250799999998
3160_shp,41.033580000000001,-73.628919999999994,25,5884.1458119999998
3160_shp,41.0336,-73.629099999999994,26,5934.3384999999998
3160_shp,41.033540000000002,-73.629199999999997,27,5969.5391250000002
3160_shp,41.0334,-73.629230000000007,28,6021.2155769999999
3160_shp,41.0334,-73.629230000000007,29,6021.2155769999999
3160_shp,41.033290000000001,-73.62912,30,6071.4881679999999
3160_shp,41.033299999999997,-73.628929999999997,31,6124.0347119999997
3160_shp,41.03331,-73.628699999999995,32,6187.5950970000004
3160_shp,41.031309999999998,-73.626900000000006,33,7069.4340750000001
3160_shp,41.031440000000003,-73.626739999999998,34,7134.1816870000002
3160_shp,41.032330000000002,-73.625619999999998,35,7582.1101040000003
3160_shp,41.032060000000001,-73.625510000000006,36,7685.0601669999996
3160_shp,41.0304,-73.624790000000004,37,8321.6720600000008
3213_shp,41.121729999999999,-73.391469999999998,1,0.0
3213_shp,41.122100000000003,-73.391279999999995,2,144.61975899999999
3213_shp,41.12312,-73.390990000000002,3,524.75690899999995
3213_shp,41.124270000000003,-73.391159999999999,4,946.37823200000003
3213_shp,41.125399999999999,-73.391139999999993,5,1358.1396560000001
3213_shp,41.126060000000003,-73.391019999999997,6,1600.877986
3213_shp,41.126010000000001,-73.391199999999998,7,1653.7097530000001
3213_shp,41.123510000000003,-73.400899999999993,8,4477.1569790000003
3213_shp,41.123510000000003,-73.400899999999993,9,4477.1569790000003
3213_shp,41.123130000000003,-73.402249999999995,10,4874.041467
3213_shp,41.12283,-73.402900000000002,11,5083.8525680000002
3213_shp,41.12283,-73.402900000000002,12,5083.8525680000002
3213_shp,41.122810000000001,-73.402979999999999,13,5107.0676160000003
3213_shp,41.121360000000003,-73.405190000000005,14,5913.2252429999999
3213_shp,41.121310000000001,-73.405510000000007,15,6003.256429
3213_shp,41.121369999999999,-73.406880000000001,16,6381.3612569999996
3213_shp,41.11994,-73.40737,17,6919.6005489999998
3213_shp,41.118220000000001,-73.40804,18,7572.9209199999996
3213_shp,41.117959999999997,-73.408150000000006,19,7672.3844870000003
3213_shp,41.117820000000002,-73.408450000000002,20,7769.5190039999998
3213_shp,41.11806,-73.410079999999994,21,8227.0851999999995
3213_shp,41.118369999999999,-73.410659999999993,22,8422.7844819999991
3213_shp,41.118510000000001,-73.411019999999994,23,8534.3259969999999
3213_shp,41.118499999999997,-73.411860000000004,24,8765.807503
3213_shp,41.118450000000003,-73.412090000000006,25,8831.7480620000006
3213_shp,41.11947,-73.412800000000004,26,9251.7379359999995
3213_shp,41.118760000000002,-73.414349999999999,27,9751.0587379999997
3213_shp,41.118270000000003,-73.414969999999997,28,9998.1602419999999
3225_shp,41.111179999999997,-73.417079999999999,1,0.0
3225_shp,41.112349999999999,-73.41619,2,491.81282199999998
3225_shp,41.113489999999999,-73.415559999999999,3,941.99993300000006
3225_shp,41.114370000000001,-73.415220000000005,4,1276.042179
3225_shp,41.115929999999999,-73.414900000000003,5,1851.238619
3225_shp,41.116300000000003,-73.41489,6,1986.0790360000001
3225_shp,41.116790000000002,-73.415019999999998,7,2168.1723099999999
3225_shp,41.117150000000002,-73.415260000000004,8,2315.0686260000002
3225_shp,41.11741,-73.415549999999996,9,2439.0024509999998
3225_shp,41.118290000000002,-73.417249999999996,10,3006.65103
3225_shp,41.118389999999998,-73.417739999999995,11,3146.4955030000001
3225_shp,41.118389999999998,-73.417739999999995,12,3146.4955030000001
3225_shp,41.116880000000002,-73.418090000000007,13,3705.0638469999999
3225_shp,41.115670000000001,-73.417689999999993,14,4159.5051530000001
3225_shp,41.115400000000001,-73.418899999999994,15,4507.1328919999996
3225_shp,41.11515,-73.419929999999994,16,4805.2110519999997
3225_shp,41.113309999999998,-73.419569999999993,17,5482.9280779999999
3225_shp,41.111780000000003,-73.419709999999995,18,6041.7279580000004
3225_shp,41.111820000000002,-73.420060000000007,19,6139.2713919999997
3225_shp,41.110970000000002,-73.420109999999994,20,6449.2813210000004
3225_shp,41.110700000000001,-73.420289999999994,21,6559.455543
3225_shp,41.110489999999999,-73.420590000000004,22,6672.1016499999996
3225_shp,41.110489999999999,-73.420590000000004,23,6672.1016499999996
3225_shp,41.110500000000002,-73.420599999999993,24,6676.6699790000002
3225_shp,41.110340000000001,-73.421940000000006,25,7050.5110830000003
3225_shp,41.110230000000001,-73.423119999999997,26,7378.1484129999999
3225_shp,41.110190000000003,-73.42362,27,7516.7039439999999
3225_shp,41.110190000000003,-73.424149999999997,28,7662.7580859999998
3225_shp,41.110329999999998,-73.424880000000002,29,7870.2932989999999
3225_shp,41.110390000000002,-73.424999999999997,30,7909.9350180000001
3225_shp,41.109949999999998,-73.426500000000004,31,8353.2958359999993
3225_shp,41.109589999999997,-73.42774,32,8719.3197089999994
3225_shp,41.108499999999999,-73.427220000000005,33,9141.53125
3225_shp,41.106180000000002,-73.426169999999999,34,10034.995166000001
3225_shp,41.10566,-73.42577,35,10254.196712000001
3225_shp,41.105499999999999,-73.425650000000005,36,10321.220982999999
3225_shp,41.104689999999998,-73.425190000000001,37,10642.426057999999
3225_shp,41.102220000000003,-73.424319999999994,38,11573.780522999999
3225_shp,41.101680000000002,-73.424120000000002,39,11778.108593000001
3225_shp,41.101599999999998,-73.424090000000007,40,11808.407123999999
3225_shp,41.100479999999997,-73.423360000000002,41,12263.389396
3225_shp,41.100160000000002,-73.423140000000004,42,12394.807884
3225_shp,41.09995,-73.422960000000003,43,12485.998706
3225_shp,41.099850000000004,-73.422790000000006,44,12545.353021000001
3225_shp,41.099490000000003,-73.422110000000004,45,12774.113660000001
3225_shp,41.098680000000002,-73.422449999999998,46,13083.762914999999
3225_shp,41.096710000000002,-73.423299999999998,47,13838.811906000001
3225_shp,41.096690000000002,-73.42304,48,13910.845313
3225_shp,41.096629999999998,-73.42116,49,14429.491438999999
3227_shp,41.096629999999998,-73.42116,1,0.0
3227_shp,41.096710000000002,-73.423299999999998,2,590.56877799999995
3227_shp,41.096850000000003,-73.423230000000004,3,645.105638
3227_shp,41.100020000000001,-73.421850000000006,4,1861.1322299999999
3227_shp,41.101640000000003,-73.420180000000002,5,2609.6345970000002
3227_shp,41.101779999999998,-73.420060000000007,6,2670.4280389999999
3227_shp,41.10201,-73.419899999999998,7,2765.1241540000001
3227_shp,41.104300000000002,-73.419799999999995,8,3599.9558980000002
3227_shp,41.105800000000002,-73.419629999999998,9,4148.4954939999998
3227_shp,41.107849999999999,-73.419079999999994,10,4910.6511659999996
3227_shp,41.109999999999999,-73.418030000000002,11,5745.7516589999996
3227_shp,41.111179999999997,-73.417079999999999,12,6249.1257439999999
3227_shp,41.111179999999997,-73.417079999999999,13,6249.1257439999999
3227_shp,41.112349999999999,-73.41619,14,6740.9385659999998
3227_shp,41.113489999999999,-73.415559999999999,15,7191.125677
3227_shp,41.114370000000001,-73.415220000000005,16,7525.167923
3227_shp,41.115929999999999,-73.414900000000003,17,8100.3643629999997
3227_shp,41.116300000000003,-73.41489,18,8235.20478
3227_shp,41.116790000000002,-73.415019999999998,19,8417.2980540000008
3227_shp,41.117150000000002,-73.415260000000004,20,8564.1943699999993
3227_shp,41.11741,-73.415549999999996,21,8688.1281949999993
3227_shp,41.118290000000002,-73.417249999999996,22,9255.7767739999999
3227_shp,41.118389999999998,-73.417739999999995,23,9395.6212469999991
3227_shp,41.118389999999998,-73.417739999999995,24,9395.6212469999991
3227_shp,41.116880000000002,-73.418090000000007,25,9954.1895910000003
3227_shp,41.115670000000001,-73.417689999999993,26,10408.630896999999
3227_shp,41.115400000000001,-73.418899999999994,27,10756.258635
3227_shp,41.11515,-73.419929999999994,28,11054.336796
3227_shp,41.113309999999998,-73.419569999999993,29,11732.053822
3227_shp,41.111780000000003,-73.419709999999995,30,12290.853702
3227_shp,41.111820000000002,-73.420060000000007,31,12388.397136
3227_shp,41.110970000000002,-73.420109999999994,32,12698.407064999999
3227_shp,41.110700000000001,-73.420289999999994,33,12808.581287000001
3227_shp,41.110489999999999,-73.420590000000004,34,12921.227394
3227_shp,41.110489999999999,-73.420590000000004,35,12921.227394
3227_shp,41.110500000000002,-73.420599999999993,36,12925.795722999999
3227_shp,41.110340000000001,-73.421940000000006,37,13299.636827
3227_shp,41.110230000000001,-73.423119999999997,38,13627.274157
3227_shp,41.110190000000003,-73.42362,39,13765.829688
3227_shp,41.110190000000003,-73.424149999999997,40,13911.883830000001
3227_shp,41.110329999999998,-73.424880000000002,41,14119.419043
3227_shp,41.110390000000002,-73.424999999999997,42,14159.060761999999
3227_shp,41.109949999999998,-73.426500000000004,43,14602.42158
3227_shp,41.109589999999997,-73.42774,44,14968.445453
3227_shp,41.108499999999999,-73.427220000000005,45,15390.656994000001
3227_shp,41.106180000000002,-73.426169999999999,46,16284.12091
3227_shp,41.10566,-73.42577,47,16503.322456000002
3227_shp,41.105499999999999,-73.425650000000005,48,16570.346727
3227_shp,41.104689999999998,-73.425190000000001,49,16891.551802000002
3227_shp,41.102220000000003,-73.424319999999994,50,17822.906266999998
3227_shp,41.101680000000002,-73.424120000000002,51,18027.234337000002
3227_shp,41.101599999999998,-73.424090000000007,52,18057.532867999998
3227_shp,41.100479999999997,-73.423360000000002,53,18512.51514
3227_shp,41.100160000000002,-73.423140000000004,54,18643.933627999999
3227_shp,41.09995,-73.422960000000003,55,18735.124449999999
3227_shp,41.099850000000004,-73.422790000000006,56,18794.478765
3227_shp,41.099490000000003,-73.422110000000004,57,19023.239403
3227_shp,41.098680000000002,-73.422449999999998,58,19332.888658
3227_shp,41.096710000000002,-73.423299999999998,59,20087.93765
3227_shp,41.096690000000002,-73.42304,60,20159.971056999999
3227_shp,41.096629999999998,-73.42116,61,20678.617182999998
3236_shp,41.096640000000001,-73.42116,1,0.0
3236_shp,41.096719999999998,-73.423299999999998,2,590.56868799999995
3236_shp,41.099490000000003,-73.4221,3,1652.649161
3236_shp,41.099969999999999,-73.422979999999995,4,1951.6712789999999
3236_shp,41.10004,-73.42304,5,1982.0682260000001
3236_shp,41.101570000000002,-73.424059999999997,6,2606.4072070000002
3236_shp,41.104129999999998,-73.424980000000005,7,3573.008871
3236_shp,41.104730000000004,-73.425200000000004,8,3799.8750829999999
3236_shp,41.105249999999998,-73.425489999999996,9,4005.5078170000002
3236_shp,41.105539999999998,-73.425650000000005,10,4120.002966
3236_shp,41.106169999999999,-73.426159999999996,11,4389.1602599999997
3236_shp,41.108499999999999,-73.427210000000002,12,5286.0721460000004
3236_shp,41.1096,-73.427750000000003,13,5713.5998570000002
