service_id,date,exception_type
1fcba937-9802-4c58-bc01-80db22d8d5b8,20221211,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221129,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20221225,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230322,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230323,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20230115,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20230305,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221207,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20230312,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20230219,1
71e53991-076e-4df9-8442-809febe8251f,20230107,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230215,1
71e53991-076e-4df9-8442-809febe8251f,20221203,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230504,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230210,1
71e53991-076e-4df9-8442-809febe8251f,20221126,1
71e53991-076e-4df9-8442-809febe8251f,20230429,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221202,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221228,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20230528,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230110,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230328,1
71e53991-076e-4df9-8442-809febe8251f,20230121,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230206,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230404,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230224,1
71e53991-076e-4df9-8442-809febe8251f,20221217,1
71e53991-076e-4df9-8442-809febe8251f,20230513,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221227,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230117,1
71e53991-076e-4df9-8442-809febe8251f,20230225,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230123,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230207,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230405,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230316,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230425,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230515,1
71e53991-076e-4df9-8442-809febe8251f,20230603,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230227,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230124,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230406,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230317,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230426,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230516,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20221124,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230228,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230125,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230407,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230217,1
71e53991-076e-4df9-8442-809febe8251f,20221210,1
71e53991-076e-4df9-8442-809febe8251f,20230506,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221220,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20230409,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221229,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221116,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230111,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230329,1
71e53991-076e-4df9-8442-809febe8251f,20230218,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221212,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230508,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20221221,1
1fcba937-9802-4c58-bc01-80db22d8d5b8,20230416,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230517,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230301,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230126,1
71e53991-076e-4df9-8442-809febe8251f,20230408,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230518,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230302,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230127,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230410,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230519,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230303,1
71e53991-076e-4df9-8442-809febe8251f,20230128,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230411,1
71e53991-076e-4df9-8442-809febe8251f,20230520,1
71e53991-076e-4df9-8442-809febe8251f,20230304,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230130,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230412,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230522,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230306,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230131,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230413,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230523,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230307,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230201,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230414,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230524,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230308,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230202,1
71e53991-076e-4df9-8442-809febe8251f,20230415,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230525,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230309,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230203,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230418,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230526,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230310,1
71e53991-076e-4df9-8442-809febe8251f,20230204,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230419,1
71e53991-076e-4df9-8442-809febe8251f,20230527,1
71e53991-076e-4df9-8442-809febe8251f,20230311,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230420,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230530,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230313,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230421,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230531,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230314,1
71e53991-076e-4df9-8442-809febe8251f,20230422,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230601,1
41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,20230315,1
