route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
29df62f0-a55d-4713-b17b-6ed08254642e,71e53991-076e-4df9-8442-809febe8251f,eabbc0c2-c8e1-4a5e-9f3b-20f0b38925ae,61971712-6673-4e4e-b0f4-ac623a6c81a2,"Central Hub to Cochituate Ball Park to Central Hub",0,997ca022-2ed8-46a6-9442-6ee5ba8bac4d
bf855e37-6b14-49f7-b0c9-aecc962bc716,71e53991-076e-4df9-8442-809febe8251f,5265df56-555b-496d-ad48-2789ba10e922,3e86dd4a-9b76-4e6e-81d1-1e27e0f365ce,"Central hub",0,c242c591-4940-412d-bd06-e15d22aba343
a3f5595b-a682-4c4f-a3eb-ae6fa7658002,71e53991-076e-4df9-8442-809febe8251f,574ae57e-9f42-477b-ab48-62c2bf14d23d,df829ac4-9ed6-4444-977b-cdec0c0816d2,"Market Basket",0,3defacee-16d2-4460-8a7e-5dbeae8c5778
6919ca4f-a233-4dbb-8c7a-76b32c8cb55c,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,207ad1d3-a93d-4b7e-befe-e099add98683,c1e81ec9-1bb8-42fc-af27-a140da02ba05,"Central Hub",0,c16fe6e0-29e9-4f21-8b91-87aedecb30a3
a419da7a-40ce-4898-b253-b50af71834c1,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,ddec1257-b456-47ed-997a-bd2cd0b0f764,e76a8f58-3464-456b-9d3c-b594be7cd3e3,"Riverside Station",0,f5f189ec-5616-461d-8b76-6dcc3e007bbf
a3f5595b-a682-4c4f-a3eb-ae6fa7658002,71e53991-076e-4df9-8442-809febe8251f,800d8234-25ea-4655-9668-aab82cb6892b,684efc3f-d098-4ec4-9358-80a9416c1e85,"Central Hub",1,3defacee-16d2-4460-8a7e-5dbeae8c5778
6919ca4f-a233-4dbb-8c7a-76b32c8cb55c,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,91413757-5c3a-425c-aeec-4e2e2101f67b,c1e81ec9-1bb8-42fc-af27-a140da02ba05,"Central Hub",0,c16fe6e0-29e9-4f21-8b91-87aedecb30a3
a419da7a-40ce-4898-b253-b50af71834c1,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,42693ce0-7054-4bc5-ac08-4b4b47317d1d,e76a8f58-3464-456b-9d3c-b594be7cd3e3,"Riverside Station",0,d0a26c9e-7e27-4a70-9845-1e0833ba8342
a3f5595b-a682-4c4f-a3eb-ae6fa7658002,71e53991-076e-4df9-8442-809febe8251f,b9295947-b7cf-49ee-9968-6363f29307a2,df829ac4-9ed6-4444-977b-cdec0c0816d2,"Market Basket",0,3defacee-16d2-4460-8a7e-5dbeae8c5778
6919ca4f-a233-4dbb-8c7a-76b32c8cb55c,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,695693be-5510-4268-8b66-c6a800189f34,c1e81ec9-1bb8-42fc-af27-a140da02ba05,"Central Hub",0,2d1e2de4-9f7a-433c-bf7a-7ac4e5c80451
