timetable_id,stop_id,stop_sequence,stop_name,connected_routes
5084,798339,5,Essex Ave & Concord St,"/School Trippers, Tripper/Essex Ave to GHS, Tripper/Magnolia Ave, Atlantic St to GHS, /West Gloucester"
5084,798342,6,Essex Ave & Fernald St,"/School Trippers, Tripper/Essex Ave to GHS, /West Gloucester"
5084,798346,7,Essex Ave & Sumner St,"/School Trippers, Tripper/Essex Ave to GHS, /West Gloucester"
5084,798347,8,Essex Town Line,"/School Trippers, Tripper/Essex Ave to GHS, /West Gloucester"
5085,798326,1,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5085,798369,2,Main St & Pleasant St,"/Blackburn Tripper, /Cruiseship Trolley, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, /Thatcher Road, Tripper/Magnolia to GHS, /West Gloucester"
5085,798356,3,Heights at Cape Ann,"/School Trippers, Tripper/Essex Ave to GHS, /West Gloucester"
5085,798414,4,Train Station - West Gloucester,"/Cape Ann Works, /School Trippers, Tripper/Essex Ave to GHS, Tripper/Magnolia Ave, Atlantic St to GHS, /West Gloucester"
5085,798339,5,Essex Ave & Concord St,"/School Trippers, Tripper/Essex Ave to GHS, Tripper/Magnolia Ave, Atlantic St to GHS, /West Gloucester"
5085,798342,6,Essex Ave & Fernald St,"/School Trippers, Tripper/Essex Ave to GHS, /West Gloucester"
5085,798346,7,Essex Ave & Sumner St,"/School Trippers, Tripper/Essex Ave to GHS, /West Gloucester"
5085,798347,8,Essex Town Line,"/School Trippers, Tripper/Essex Ave to GHS, /West Gloucester"
5086,798326,1,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5086,801986,2,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5086,801990,3,Shaw's Supermarket,/Eastern Ave
