stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1007,OAKFARN,OAK ST & OPP FARNHAM DR,,41.748786,-72.576274,,,,,
10076,FARMCKS,FARMINGTON AVE & McKINLEY DR,,41.693261,-72.790828,,,,,
10077,FARGOVS,FARMINGTON AVE & GOVERNOR ST,,41.688595,-72.789378,,,,,
10078,FARRICS,FARMINGTON AVE & RICHMOND AVE,,41.686334,-72.788871,,,,,
10079,FAROSGS,FARMINGTON AVE & OSGOOD AVE,,41.68528,-72.788642,,,,,
1008,OAKSKYN,OAK ST & SKYLINE DR,,41.747204,-72.575832,,,,,
10080,FARALLS,FARMINGTON AVE & OPP ALLEN ST,,41.681615,-72.788014,,,,,
10081,FARHAYS,FARMINGTON AVE & HAYES ST,,41.68023,-72.787676,,,,,
10082,FARMILS,FARMINGTON AVE & MILLER ST,,41.679229,-72.786927,,,,,
10083,WAS370S,WASHINGTON ST & 370 FARMINGTON AVE,,41.677772,-72.785754,,,,,
10084,WAS260S,WASHINGTON ST & 260 WASHINGTON ST,,41.675225,-72.785042,,,,,
10087,JEFCANE,JEFFERSON ST & CANAL ST,,41.048532,-73.534541,,,,,
1009,OAKLARN,OAK ST & LARK DR,,41.745469,-72.575342,,,,,
10090,DOCCANW,DOCK ST & CANAL ST,,41.048674,-73.534651,,,,,
10091,MAILAFN,MAIN ST & OPP LAFAYETTE ST,,41.670916,-72.781028,,,,,
10092,MAILEE,MAIN ST & LEE ST,,41.6724,-72.781099,,,,,
10093,NORSEXE,NORTH ST & OPP SEXTON ST,,41.673302,-72.780675,,,,,
10094,NORTREE,NORTH ST & OPP TREMONT ST,,41.673676,-72.777481,,,,,
10095,NORERWE,NORTH ST & OPP ERWIN PL,,41.673774,-72.776247,,,,,
10096,OAKNORN,OAK ST & NORTH ST,,41.674712,-72.774988,,,,,
10097,OAKPUTN,OAK ST & PUTNAM ST,,41.675963,-72.774975,,,,,
10099,OAKDALN,OAK ST & DALY AVE,,41.678161,-72.775336,,,,,
1010,HILCREE,HILLS ST & OPP CRESTWOOD TRL,,41.743581,-72.578642,,,,,
10100,OAKLASN,OAK ST & LASALLE ST,,41.68011,-72.775673,,,,,
10101,OAK253N,OAK ST & 253 OAK ST,,41.681218,-72.775854,,,,,
10102,CARCARN,CARLTON ST & OPP CRANSTON TER,,41.686383,-72.77458,,,,,
10103,ALLDUDE,ALLEN ST & DUDLEY ST,,41.68263,-72.775248,,,,,
10104,CARALLN,CARLTON ST & ALLEN ST,,41.683228,-72.773989,,,,,
10105,CARROXN,CARLTON ST & ROXBURY RD,,41.684729,-72.774254,,,,,
10106,CARSTAN,CARLTON ST & STRATFORD RD,,41.687393,-72.774785,,,,,
10107,CARCOMN,CARLTON ST & COMMONWEALTH AVE,,41.68868,-72.775013,,,,,
10108,CAREDDN,CARLTON ST & EDDY GLOVER BLVD,,41.691084,-72.775435,,,,,
10109,EDDSENW,EDDY GLOVER BLVD & OPP SENECA ST,,41.691343,-72.776609,,,,,
1011,HILWICE,HILLS ST & WICKHAM DR,,41.743078,-72.582302,,,,,
10110,EDDTUNW,EDDY GLOVER BLVD & OPP TUNXIS ST,,41.690934,-72.780627,,,,,
10111,EDD303S,EDDY GLOVER BLVD & 303 EDDY GLOVER BLVD,,41.689237,-72.783242,,,,,
10112,EDDCOMS,EDDY GLOVER BLVD & OPP COMMONWEALTH AVE,,41.688021,-72.783219,,,,,
10113,EDDMCCW,COMMONWEALTH AVE  & MCCLINTOCK ST,,41.686726,-72.784538,,,,,
10114,EDDHAWN,EDDY GLOVER BLVD & HAWTHORNE ST,,41.686252,-72.783631,,,,,
10115,EDDCOMN,EDDY GLOVER BLVD & COMMONWEALTH AVE,,41.687449,-72.783062,,,,,
10116,COMEDDE,COMMONWEALTH AVE & EDDY GLOVER BLVD,,41.687753,-72.782444,,,,,
10117,COMTUNE,COMMONWEALTH AVE & OPP TUNXIS ST,,41.688127,-72.780048,,,,,
10118,COMPEQE,COMMONWEALTH AVE & PEQUOT ST,,41.688457,-72.778003,,,,,
10119,COMCARE,COMMONWEALTH AVE & CARLTON ST,,41.688814,-72.775558,,,,,
1012,HILALEE,HILLS ST & OPP ALEXANDER DR,,41.742787,-72.584434,,,,,
10120,COMPARE,COMMONWEALTH AVE & PARK RD,,41.689179,-72.77321,,,,,
10121,COMSTAE,COMMONWEALTH AVE & STANLEY ST,,41.689607,-72.771031,,,,,
10124,STALYLN,STANLEY ST & LYLE RD,,41.695712,-72.772249,,,,,
10125,STABLAKN,STANLEY ST & BLAKE RD,,41.697124,-72.773809,,,,,
10126,STACHRIN,STANLEY ST & OPP CHRISOPHER CIR,,41.698983,-72.774219,,,,,
1013,HIL381E,HILLS ST & 381 HILLS ST,,41.74239,-72.587185,,,,,
10137,MARUNIS,MARK TWAIN DR & UNIVERSITY HIGH,,41.796409,-72.70969,,,,,
1014,HILBROE,HILLS ST & BROOKFIELD DR 2,,41.741933,-72.590904,,,,,
10147,STADRUS,STANLEY ST & OPP DRURY LN,,41.70069,-72.774799,,,,,
10148,STABLAKS,STANLEY ST & BLAKE RD,,41.696937,-72.773991,,,,,
10149,STALYLS,STANLEY ST & OPP LYLE RD,,41.695837,-72.772721,,,,,
1015,HILBROKE,HILLS ST & BROOKFIELD DR 1,,41.741651,-72.593158,,,,,
10151,STANEDDS,STANLEY ST & EDDY GLOVER BLVD,,41.691904,-72.77132,,,,,
10152,COMSTAW,COMMONWEALTH AVE & STANLEY ST,,41.689768,-72.771104,,,,,
10153,COMUNCW,COMMONWEALTH AVE & UNCAS RD,,41.689251,-72.773863,,,,,
10154,CARCOMS,CARLTON ST & COMMONWEALTH AVE,,41.688698,-72.775243,,,,,
10155,CARSTRS,CARLTON  ST & STRATFORD RD,,41.687357,-72.77499,,,,,
10156,CARCRAS,CARLTON ST & CRANSTON TER,,41.686383,-72.774797,,,,,
10157,CARROXS,CARLTON ST & ROXBURY RD,,41.684685,-72.774484,,,,,
10158,ALLCARW,ALLEN ST & CARLTON ST,,41.682897,-72.774304,,,,,
10159,ALLOAKW,ALLEN ST & OAK ST,,41.682746,-72.775768,,,,,
1016,HILGREE,HILLS ST & OPP GREENWOOD ST,,41.741086,-72.597071,,,,,
10160,OAK254S,OAK ST & 254 OAK ST,,41.681209,-72.776096,,,,,
10161,OAKLAS,OAK ST & LASALLE ST,,41.679645,-72.775831,,,,,
10162,OAKDALS,OAK ST & DALY AVE,,41.67809,-72.775566,,,,,
10163,OAKPUTS,OAK ST & PUTNAM ST,,41.676419,-72.775277,,,,,
10164,OAKNORS,OAK ST & NORTH ST,,41.674712,-72.775205,,,,,
10165,NORERWW,NORTH ST & ERWIN PL,,41.673971,-72.776162,,,,,
10166,NORTREW,NORTH ST & TREMONT ST,,41.673801,-72.77794,,,,,
10167,NORSEXW,NORTH ST & SEXTON ST,,41.673472,-72.780699,,,,,
10168,MAILEES,MAIN ST & OPP LEE ST,,41.672355,-72.781329,,,,,
10169,MAILAFS,MAIN ST & LAFAYETTE ST,,41.671309,-72.781269,,,,,
1017,HILGREBE,HILLS ST & OPP GREENBRIER RD,,41.740634,-72.599531,,,,,
10170,JONBELN,JONES HILL RD & BELLEVUE AVE,,41.248968,-72.977187,,,,,
10182,CAMPWESS,CAMPBELL AVE & OPP WEST WALK,,41.259157,-72.945576,,,,,
10184,LINLINS,LINCOLN ST & LINCOLN CT,,41.664746,-72.796819,,,,,
10186,BLASBUW,BLACK ROCK AVE & OPP S BURRITT ST,,41.664487,-72.798452,,,,,
10187,BLASHES,BLACK ROCK AVE & SHERWOOD RD,,41.663808,-72.800581,,,,,
10189,BLAHARS,BLACK ROCK AVE & OPP HARRISON ST,,41.662013,-72.802651,,,,,
1019,HILFORE,HILLS ST & FORBES ST,,41.740096,-72.603578,,,,,
10191,BLAOLDN,BLACK ROCK AVE & OLDFIELD ST,,41.661701,-72.80651,,,,,
10192,BLANEWW,BLACK ROCK AVE & OPP NEW HAMPSHIRE DR,,41.66305,-72.808166,,,,,
10193,BLAWARW,BLACK ROCK AVE & WARREN ST,,41.663774,-72.810973,,,,,
10194,BLATEXW,BLACK ROCK AVE & OPP TEXAS DR,,41.664561,-72.813428,,,,,
10195,WOOMERW,WOODFORD AVE & MERELINE AVE,,41.66885,-72.846806,,,,,
10196,WOODALW,WOODFORD AVE & DALLAS AVE,,41.669913,-72.850181,,,,,
10197,WOOKENW,WOODFORD AVE & KENT ST,,41.671378,-72.85467,,,,,
10198,WOOEASW,WOODFORD AVE & EAST ST,,41.672646,-72.858639,,,,,
102,FARSMAIE,FARMINGTON AVE & S MAIN ST,,41.762042,-72.741366,,,,,
1020,FORSHAS,FORBES ST & OPP SHADYCREST DR,,41.741592,-72.60516,,,,,
10200,EMACROW,E MAIN ST & OPP CROWN ST,,41.672349,-72.864217,,,,,
10201,EMAPLAW,E MAIN ST & OPP PLAINVILLE CTR LIBRARY,,41.67175,-72.86585,,,,,
10202,EMANORTW,E MAIN ST & NORTON PL,,41.673583,-72.860987,,,,,
