timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
5463,3005,1,20220815,20221101,0,0,0,0,0,1,0,Chelmsford via Chelmsford Street,Saturday only,Inbound,horizontal,,
5464,3006,1,20220815,20221101,0,0,0,0,0,1,0,North Chelmsford via Middlesex Street,Saturday only,Inbound,horizontal,,
5465,3007,1,20220815,20221101,0,0,0,0,0,1,0,Downtown Shuttle,Saturday only,Inbound,horizontal,,
5466,2990,0,20220815,20221101,0,0,0,0,0,1,0,Christian Hill,Saturday only,Outbound,horizontal,,
5467,2991,0,20220815,20221101,0,0,0,0,0,1,0,Belvidere,Saturday only,Outbound,horizontal,,
5468,2992,0,20220815,20221101,0,0,0,0,0,1,0,South Lowell,Saturday only,Outbound,horizontal,,
5469,2993,0,20220815,20221101,0,0,0,0,0,1,0,Highlands via Stevens,Saturday only,Outbound,horizontal,,
5470,2994,0,20220815,20221101,0,0,0,0,0,1,0,Westford Street/Drum Hill,Saturday only,Outbound,horizontal,,
5471,2995,0,20220815,20221101,0,0,0,0,0,1,0,Broadway/UMass Lowell,Saturday only,Outbound,horizontal,,
5472,2996,0,20220815,20221101,0,0,0,0,0,1,0,Pawtucketville/UMass Lowell North,Saturday only,Outbound,horizontal,,
5473,2997,0,20220815,20221101,0,0,0,0,0,1,0,Centralville,Saturday only,Outbound,horizontal,,
5474,2999,0,20220815,20221101,0,0,0,0,0,1,0,Dracut/Tyngsboro,Saturday only,Outbound,horizontal,,
5475,3000,0,20220815,20221101,0,0,0,0,0,1,0,IRS/Raytheon via Rte. 133,Saturday only,Outbound,horizontal,,
5476,3001,0,20220815,20221101,0,0,0,0,0,1,0,Tewksbury via Rte. 38/Wilmington Train Station,Saturday only,Outbound,horizontal,,
5477,3002,0,20220815,20221101,0,0,0,0,0,1,0,Billerica via Edson,Saturday only,Outbound,horizontal,,
5478,3003,0,20220815,20221101,0,0,0,0,0,1,0,Burlington Mall/Lahey Clinic,Saturday only,Outbound,horizontal,,
5479,3004,0,20220815,20221101,0,0,0,0,0,1,0,Chelmsford/Westford via Rte. 129/110,Saturday only,Outbound,horizontal,,
5480,3005,0,20220815,20221101,0,0,0,0,0,1,0,Chelmsford via Chelmsford Street,Saturday only,Outbound,horizontal,,
5481,3006,0,20220815,20221101,0,0,0,0,0,1,0,North Chelmsford via Middlesex Street,Saturday only,Outbound,horizontal,,
5482,3007,0,20220815,20221101,0,0,0,0,0,1,0,Downtown Shuttle,Saturday only,Outbound,horizontal,,
