route_id,direction_id,direction
67916,1,Outbound
67916,0,Inbound
15097,1,Southbound
15097,0,Northbound
7415,0,No direction
5231,1,Eastbound
5231,0,Westbound
3185,1,Southbound
3185,0,Northbound
3184,0,Loop
3182,1,Southbound
3182,0,Northbound
1387,1,Southbound
1387,0,Northbound
1386,1,Eastbound
1386,0,Westbound
1383,1,Southbound
1383,0,Northbound
1382,1,Southbound
1382,0,Northbound
1354,1,Eastbound
1354,0,Westbound
