timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3778,10733,0,20221031,20231001,1,1,1,1,1,0,0,North Andover,Weekday,Outbound,horizontal,,
3779,10733,0,20221031,20231001,0,0,0,0,0,1,0,North Andover,Saturday only,Outbound,horizontal,,
3781,10748,1,20221031,20231001,1,1,1,1,1,0,0,Prospect Hill,Weekday,Inbound,horizontal,,
3782,10748,1,20221031,20231001,0,0,0,0,0,1,0,Prospect Hill,Saturday only,Inbound,horizontal,,
3784,10748,0,20221031,20231001,1,1,1,1,1,0,0,Prospect Hill,Weekday,Outbound,horizontal,,
3785,10748,0,20221031,20231001,0,0,0,0,0,1,0,Prospect Hill,Saturday only,Outbound,horizontal,,
3787,10749,1,20221031,20231001,1,1,1,1,1,0,0,Water Street,Weekday,Inbound,horizontal,,
3788,10749,1,20221031,20231001,0,0,0,0,0,1,0,Water Street,Saturday only,Inbound,horizontal,,
3790,10749,0,20221031,20231001,1,1,1,1,1,0,0,Water Street,Weekday,Outbound,horizontal,,
3791,10749,0,20221031,20231001,0,0,0,0,0,1,0,Water Street,Saturday only,Outbound,horizontal,,
3793,10752,0,20221031,20231001,1,1,1,1,1,0,0,Colonial Heights/North Andover Mall,Weekday,Outbound,horizontal,,
3794,10752,1,20221031,20231001,1,1,1,1,1,0,0,Colonial Heights/North Andover Mall,Weekday,Inbound,horizontal,,
3795,10752,1,20221031,20231001,0,0,0,0,0,1,0,Colonial Heights/North Andover Mall,Saturday only,Inbound,horizontal,,
3797,10752,0,20221031,20231001,0,0,0,0,0,1,0,Colonial Heights/North Andover Mall,Saturday only,Outbound,horizontal,,
3799,10753,1,20221031,20231001,1,1,1,1,1,0,0,North Andover Mall/Phillips Street,Weekday,Inbound,horizontal,,
3800,10753,1,20221031,20231001,0,0,0,0,0,1,0,North Andover Mall/Phillips Street,Saturday only,Inbound,horizontal,,
3802,10753,0,20221031,20231001,1,1,1,1,1,0,0,North Andover Mall/Phillips Street,Weekday,Outbound,horizontal,,
3803,10753,0,20221031,20231001,0,0,0,0,0,1,0,North Andover Mall/Phillips Street,Saturday only,Outbound,horizontal,,
3805,10754,1,20221031,20231001,1,1,1,1,1,0,0,Methuen Square,Weekday,Inbound,horizontal,,
3806,10754,1,20221031,20231001,0,0,0,0,0,1,0,Methuen Square,Saturday only,Inbound,horizontal,,
3808,10754,0,20221031,20231001,1,1,1,1,1,0,0,Methuen Square,Weekday,Outbound,horizontal,,
3809,10754,0,20221031,20231001,0,0,0,0,0,1,0,Methuen Square,Saturday only,Outbound,horizontal,,
3812,10755,0,20221031,20231001,0,0,0,0,0,1,0,Lawrence-Lowell,Saturday only,Outbound,horizontal,,
3813,10755,0,20221031,20231001,1,1,1,1,1,0,0,Lawrence-Lowell,Weekday,Outbound,horizontal,,
3814,10755,1,20221031,20231001,1,1,1,1,1,0,0,Lawrence-Lowell,Weekday,Inbound,horizontal,,
3815,10755,1,20221031,20231001,0,0,0,0,0,1,0,Lawrence-Lowell,Saturday only,Inbound,horizontal,,
3823,10737,0,20221031,20231001,1,1,1,1,1,0,0,Lawrence Downtown Shuttle,Weekday,Loop,horizontal,,
3826,10737,0,20221031,20231001,0,0,0,0,0,1,0,Lawrence Downtown Shuttle,Saturday only,Loop,horizontal,,
