timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3595,3219,1,20220901,20230801,1,1,1,1,1,0,0,Ashmont,Weekday,Inbound,vertical,,
3596,3219,1,20220901,20230801,0,0,0,0,0,1,0,Ashmont,Saturday only,Inbound,vertical,,
3597,3219,1,20220901,20230801,0,0,0,0,0,0,1,Ashmont,Sunday only,Inbound,vertical,,
3602,2946,1,20220901,20230801,1,1,1,1,1,0,0,Stoughton via Brockton,Weekday,Inbound,vertical,,
3603,2946,0,20220901,20230801,1,1,1,1,1,0,0,Stoughton via Brockton,Weekday,Outbound,vertical,,
3604,2946,1,20220901,20230801,0,0,0,0,0,1,0,Stoughton via Brockton,Saturday only,Inbound,vertical,,
3605,2946,0,20220901,20230801,0,0,0,0,0,1,0,Stoughton via Brockton,Saturday only,Outbound,vertical,,
3606,2948,0,20220901,20230801,1,1,1,1,1,0,0,Green Line,Weekday,Loop,vertical,,
3607,3220,0,20220901,20230801,1,1,1,1,1,0,0,Blue Line,Weekday,Loop,vertical,,
3608,3223,0,20220901,20230801,1,1,1,1,1,0,0,Red Line,Weekday,Loop,vertical,,
3609,3222,0,20220901,20230801,1,1,1,1,1,1,1,Gold Nights and Weekends,All days of week,Loop,vertical,,
3610,3221,1,20220901,20230801,1,1,1,1,1,0,0,Route 28,Weekday,Inbound,vertical,,
3611,2947,1,20220901,20230801,1,1,1,1,1,0,0,Rockland Flex,Weekday,Inbound,vertical,,
3612,2947,0,20220901,20230801,1,1,1,1,1,0,0,Rockland Flex,Weekday,Outbound,vertical,,
4064,2946,0,20220901,20230801,0,0,0,0,0,0,1,Stoughton via Brockton,Sunday only,Outbound,vertical,,
4065,2946,1,20220901,20230801,0,0,0,0,0,0,1,Stoughton via Brockton,Sunday only,Inbound,vertical,,
4234,3221,0,20220901,20230801,1,1,1,1,1,0,0,Route 28,Weekday,Outbound,vertical,,
4271,18785,1,20220901,20230801,1,1,1,1,1,0,0,Lisa & Howard via N Quincy & Court,Weekday,Inbound,vertical,,
4272,18785,0,20220901,20230801,1,1,1,1,1,0,0,Lisa & Howard via N Quincy & Court,Weekday,Outbound,vertical,,
4273,18785,1,20220901,20230801,0,0,0,0,0,1,0,Lisa & Howard via N Quincy & Court,Saturday only,Inbound,vertical,,
4274,18785,0,20220901,20230801,0,0,0,0,0,1,0,Lisa & Howard via N Quincy & Court,Saturday only,Outbound,vertical,,
4275,18785,1,20220901,20230801,0,0,0,0,0,0,1,Lisa & Howard via N Quincy & Court,Sunday only,Inbound,vertical,,
4276,18785,0,20220901,20230801,0,0,0,0,0,0,1,Lisa & Howard via N Quincy & Court,Sunday only,Outbound,vertical,,
5555,2939,1,20220901,20230801,0,0,0,0,0,0,1,Massasoit via Crescent Street,Sunday only,Inbound,vertical,,
