area_id,wkt
29,"POLYGON((-72.8769254572537 43.0110244263964,-72.9407766447464 43.0062179742521,-72.9332647403376 42.852901323872,-73.0116173576326 42.8524152069961,-73.0126338124819 42.7412849029535,-72.6573755743614 42.7329778469399,-72.6588622928203 42.8191882577344,-72.7757115381736 42.8205755567029,-72.7798477368528 42.9054780933969,-72.750521601016 42.9053241062277,-72.7118335651751 43.0747390516647,-72.8779893375936 43.0750640791365,-72.8775644552421 43.051782704688,-72.8769254572537 43.0110244263964))"
30,"POLYGON((-73.2208147358917 42.8920743076784,-73.2299656652437 42.9118116165598,-73.2026399734384 42.9195372380152,-73.1779833026972 42.9052952793442,-73.1655419139509 42.8752981638967,-73.1794835399983 42.8638790544284,-73.2051814189926 42.8627356258376,-73.2194161979802 42.8739137775316,-73.2208147358917 42.8920743076784))"
50,"POLYGON((-72.7178883867894 43.4302694916657,-72.7255439559359 43.4242190967811,-72.7275704301161 43.4019746106356,-72.7215429471319 43.3939941017012,-72.6823125066491 43.3897039355068,-72.6513720206761 43.3797095093256,-72.6250185048619 43.334108211041,-72.6095257009056 43.2612804496079,-72.5928800615211 43.251062549961,-72.5583712267735 43.2331056366533,-72.5397012534707 43.2051473040248,-72.5019650739884 43.186060268541,-72.4872800026649 43.1800735014479,-72.4777568445991 43.1762608105391,-72.4654996007988 43.1773374705731,-72.4624076809685 43.1775310536495,-72.4605843767324 43.1635102417165,-72.4624279829068 43.1478914880905,-72.4500143351067 43.1350234081795,-72.4467135853337 43.1355513392633,-72.4566577218617 43.1479477812829,-72.4543520682387 43.1649375481928,-72.4548919739685 43.1707533629399,-72.4568757874376 43.1775637727318,-72.4777482140061 43.1932200521104,-72.5199355970691 43.2088044270645,-72.5299704687843 43.2186664840036,-72.539387927356 43.235599912857,-72.5914532924337 43.269245758127,-72.600152948553 43.3208133343214,-72.5337890715228 43.3309359526431,-72.510240599028 43.3109486478211,-72.4981095677481 43.2932920541292,-72.47741545555 43.2751107926076,-72.4624998786632 43.2677242566538,-72.4455369150474 43.2622955809001,-72.4495345561555 43.2506498319541,-72.4426418891998 43.2330538922573,-72.4521497923781 43.2258901560795,-72.4529061027547 43.2070714987851,-72.4559313446736 43.1985657652296,-72.4568254112978 43.1869647278268,-72.4618364621116 43.1816299582664,-72.4568386525353 43.1778074918312,-72.4491899307983 43.1836471586087,-72.4487237271808 43.196232883073,-72.4459912641836 43.2184893686963,-72.4319454981299 43.2225835323174,-72.4312750601914 43.2372702097141,-72.4368933666129 43.2511220002186,-72.4323554518804 43.2673510264506,-72.4444818121155 43.2742549444081,-72.4566908241478 43.2755922263945,-72.52808035092 43.34391120082,-72.6012052228033 43.3309873056569,-72.6199568765545 43.3541865406085,-72.6418748343282 43.3887174518733,-72.6727809322642 43.3984258129829,-72.7102328176487 43.4031197468951,-72.7102328176487 43.4266720324707,-72.7178883867894 43.4302694916657))"
51,"POLYGON((-72.7173994458272 43.4297870794902,-72.7258645922192 43.4245614480461,-72.7281925074723 43.4022706025056,-72.721420390361 43.3938133079181,-72.6852071763486 43.3900944281377,-72.6518555865663 43.3805832030694,-72.6252713363959 43.334694535942,-72.6130732611626 43.3207189619139,-72.5996553784082 43.3211626803491,-72.5337857721417 43.3307018429024,-72.5110543323521 43.3113365085582,-72.4997124127444 43.2948286655136,-72.4798640534424 43.2767680797557,-72.4621423040618 43.2674776905784,-72.4479649045591 43.2630900693867,-72.4510357763276 43.2518865427503,-72.4433614167693 43.2338251332751,-72.4510357763276 43.2273733322403,-72.4522164470342 43.2114559696718,-72.4563487944881 43.1976862510928,-72.4563487944881 43.1882177666619,-72.4619863356907 43.1815749666248,-72.4613897106331 43.1628648531981,-72.4622846482195 43.1469785150661,-72.4501814426354 43.1349774391588,-72.4471783177893 43.1357079399307,-72.4566167101499 43.1480207823632,-72.4554527866752 43.1662294875704,-72.4575478489395 43.1783790109658,-72.4489348152355 43.1844898081095,-72.4461413988583 43.2187333495892,-72.4333382406525 43.225688218673,-72.4324071018757 43.2370517849164,-72.4372776729619 43.2522738319234,-72.4316908402887 43.2673616707827,-72.444959567889 43.2749889302136,-72.4575299414006 43.2763447873826,-72.4777272127495 43.2962970863782,-72.4989106199651 43.3159471728623,-72.5125770577945 43.3290885495835,-72.5280950327438 43.3438688583525,-72.5737146385865 43.3363640576508,-72.6002161372813 43.3314771070398,-72.6209880252971 43.3557626371609,-72.6417772943425 43.3884465320332,-72.6726112951925 43.3987547389787,-72.7105013575107 43.4033429861411,-72.7105013575107 43.4271128833253,-72.7173994458272 43.4297870794902))"
